Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
18.106;—;Consejo Superior de Deportes;55.263,09;55.263.090,00
18.303;—;Agencia Estatal Comisión Española para la Lucha Antidopaje en el Deporte;2.128,84;2.128.840,00
—;—;TOTAL C26.I01 Plan de Digitalización del Sector Deporte;57.391,93;57.391.930,00
