Económica;Explicación;Orgánica;Total (miles  euros);Total (euros)
18.50;—;Mecanismo de Recuperación y Resiliencia;400;400.000,00
—;—;TOTAL C21.R02 Diseño y aplicación de nuevo modelo curricular por competencias clave, priorizando aprendizajes fundamentales, y regulación de una ordenación académica inclusiva;400;400.000,00
