Económica;Explicación;18.50 ;Total (miles euros);Total (euros)
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;72,60;72,60;72.600,00
29;Gastos corrientes en bienes y servicios – Mecanismo de Recuperación;72,60;72,60;72.600,00
6;INVERSIONES REALES;251,51;251,51;251.510,00
69;Inversiones reales – Mecanismo de Recuperación;251,51;251,51;251.510,00
—;TOTAL PROGRAMA 14SB;—;324,11;324.110,00
