Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
18.50;19;Gastos de personal. Mecanismo de Recuperación y Resiliencia;1.292,82;1.292.820,00
—;—;TOTAL GASTOS DE PERSONAL;1.292,82;1.292.820,00
—;—;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;59.804,01;59.804.010,00
—;—;TOTAL C19.I02 Transformación Digital de la Educación. Educación;59.804,01;59.804.010,00
