Económica;Explicación;18.50;Total (miles  euros);Total (euros)
1;GASTOS DE PERSONAL;895,52;895,52;895.520,00
19;Gastos de personal – Mecanismo de Recuperación y Resiliencia;895,52;895,52;895.520,00
4;TRANSFERENCIAS CORRIENTES;55.039,40;55.039,40;55.039.400,00
45;A Comunidades Autónomas;55.039,40;55.039,40;55.039.400,00
—;TOTAL PROGRAMA 32UC;—;55.934,92;55.934.920,00
