Orgánica;Económica;Explicación;Total (miles Euros);Total (euros)
13.105;—;Consejo de Administración del Patrimonio Nacional;22.050,98;22.050.980,00
—;—;TOTAL C11.I04 Plan de Transición Energética en la AGE;22.050,98;22.050.980,00
—;—;TOTAL Sección 13;22.050,98;22.050.980,00
