Clasificación por programas;Explicación;Estado;Total (miles euros);Total (euros)
941M;Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;23.552.875,38;23.552.875,38;23.552.875.380,00
941O;Otras transferencias a Comunidades Autónomas;522.200,00;522.200,00;522.200.000,00
942M;Transferencias a Entidades Locales por participación en los ingresos del Estado;20.792.575,72;20.792.575,72;20.792.575.720,00
942N;Otras transferencias a Entidades Locales;220.319,43;220.319,43;220.319.430,00
—;TOTAL CONSOLIDADO;45.087.970,53;45.087.970,53;45.087.970.530,00
