Económica;Explicación;Total (miles Euros);Total (euros);
4;Transferencias corrientes;8.027,14;8.027.140,00 €;
44;A sociedades, entidades públicas empresariales, fundaciones y resto del sector público estatal;8.027,14;8.027.140,00 €;
;TOTAL PROGRAMA 337B;8.027,14;8.027.140,00 €;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
