;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Resumen general por organismos y capítulos del presupuesto de gastos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 9;Total;
20.104; INSTITUTO DE TURISMO DE ESPAÑA;23.212,13;12.290,94;127,00;1.351,34;77.200,98;;134,36;;114.316,75;
21;MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN;18.502,33;12.793,99;15,00;6.012.064,29;36.350,11;1.609.487,01;135,49;;7.689.348,22;
21.101; AGENCIA DE INFORMACIÓN Y CONTROL ALIMENTARIOS;4.092,10;3.656,05;;;1.540,00;;17,33;;9.305,48;
21.102; ENTIDAD ESTATAL DE SEGUROS AGRARIOS;2.205,96;1.277,29;15,00;318.855,15;601,24;;18,16;;322.972,80;
21.103; FONDO ESPAÑOL DE GARANTÍA AGRARIA;12.204,27;7.860,65;;5.693.209,14;34.208,87;1.609.487,01;100,00;;7.357.069,94;
23;MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;181.833,03;457.440,79;4.028,53;158.297,53;519.607,98;358.029,88;1.675,11;35.500,00;1.716.412,85;
23.101; PARQUES NACIONALES;9.366,42;13.473,79;15,50;1.055,52;133.143,11;4.772,41;15,00;;161.841,75;
23.102; CONFEDERACIÓN HIDROGRÁFICA DEL CANTÁBRICO;9.657,55;3.500,00;47,00;151,00;12.000,00;;30,00;;25.385,55;
23.103; CONFEDERACIÓN HIDROGRÁFICA DEL DUERO;19.669,27;30.961,73;781,33;30,56;44.952,00;;100,00;;96.494,89;
23.104; CONFEDERACIÓN HIDROGRÁFICA DEL EBRO;32.150,37;38.612,50;18,50;815,52;37.905,00;100,00;45,00;;109.646,89;
23.105; CONFEDERACIÓN HIDROGRÁFICA DEL GUADALQUIVIR;24.458,45;61.592,26;250,00;1.035,53;88.358,57;13.200,00;162,04;35.500,00;224.556,85;
23.106; CONFEDERACIÓN HIDROGRÁFICA DEL GUADIANA;18.692,82;15.375,23;50,00;;31.300,00;1.000,00;47,92;;66.465,97;
23.107; CONFEDERACIÓN HIDROGRÁFICA DEL JÚCAR;15.434,31;18.416,30;600,00;156,36;19.000,00;435,00;35,00;;54.076,97;
23.108; CONFEDERACIÓN HIDROGRÁFICA DEL MIÑO-SIL;6.243,29;11.048,86;20,00;40,43;30.740,00;50,00;20,00;;48.162,58;
23.109; CONFEDERACIÓN HIDROGRÁFICA DEL SEGURA;12.181,14;67.514,80;126,76;2.860,77;18.199,33;15.623,55;65,15;;116.571,50;
23.110; CONFEDERACIÓN HIDROGRÁFICA DEL TAJO;18.277,92;17.867,05;570,00;48,02;31.813,30;670,00;25,00;;69.271,29;
23.111; MANCOMUNIDAD DE LOS CANALES DEL TAIBILLA;13.348,00;171.005,13;620,00;113,04;54.846,67;1.500,00;1.120,00;;242.552,84;
23.112; INSTITUTO PARA LA TRANSICIÓN JUSTA;2.353,49;8.073,14;929,44;151.990,78;17.350,00;320.678,92;10,00;;501.385,77;
24;MINISTERIO DE CULTURA;86.899,95;75.412,73;127,48;209.293,15;114.326,78;7.631,00;575,72;;494.266,81;
24.103; INSTITUTO DE LA CINEMATOGRAFÍA Y DE LAS ARTES AUDIOVISUALES;8.549,22;4.854,85;40,00;153.721,17;835,00;30,00;54,00;;168.084,24;
24.104; BIBLIOTECA NACIONAL DE ESPAÑA;17.226,78;10.262,95;;661,17;6.094,18;;63,00;;34.308,08;
24.105; GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA;5.478,30;4.000,00;4,00;;99.359,62;50,00;27,00;;108.918,92;
24.107; INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA;55.645,65;56.294,93;83,48;54.910,81;8.037,98;7.551,00;431,72;;182.955,57;
26;MINISTERIO DE SANIDAD;2.930,47;1.107,12;;2.126,62;267,55;;25,00;;6.456,76;
26.105; ORGANIZACIÓN NACIONAL DE TRASPLANTES;2.930,47;1.107,12;;2.126,62;267,55;;25,00;;6.456,76;
27;MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;127.105,35;33.222,90;36,91;1.328,99;39.422,71;2.312,46;267,62;;203.696,94;
27.101; INSTITUTO NACIONAL DE ESTADÍSTICA;121.426,15;29.454,40;36,31;518,58;38.793,65;2.312,46;247,62;;192.789,17;
27.102; INSTITUTO DE CONTABILIDAD Y AUDITORÍA DE CUENTAS;5.679,20;3.768,50;0,60;810,41;629,06;;20,00;;10.907,77;
28;MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;122.693,28;73.030,92;1.240,06;135.765,75;130.887,03;261.331,69;400,63;450,00;725.799,36;
