Clasificación Orgánica;Clasificación Económica;Explicación;Total (miles €);Total (€)
23.50;74805;Al IDAE para el desarrollo de energías renovables innovadoras, integradas en la edificación y en los procesos productivos. Mecanismo de Recuperación y Resiliencia;730.000,00;730.000.000,00 €
23.50;82904;Al IDAE para PERTE ERHA en materia de desarrollo de energías renovables innovadoras, integradas en la edificación y en los procesos productivos. Mecanismo de Recuperación y Resiliencia;50.000,00;50.000.000,00 €
—;—;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;780.000,00;780.000.000,00 €
—;—;TOTAL PROGRAMA C07.I01;780.000,00;780.000.000,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
