Clasificación Orgánica;Clasificación Económica;Explicación;Total (miles €);Total (€)
23.50;74301;Aportación al FRER para adquisición de información, mejora de conocimiento y digitalización del patrimonio natural;255,17;255.170,00 €
23.50;74311;Aportación al FRER para actuaciones en espacios gestionados por O.A. Parques Nacionales;2.722,22;2.722.220,00 €
23.50;—;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;48.339,06;48.339.060,00 €
23.101;—;Actuaciones directas del O.A. Parques Nacionales;1.489,35;1.489.350,00 €
—;—;TOTAL PROGRAMA C04.I01;49.828,41;49.828.410,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
