Clasificación Orgánica;Clasificación Económica;Explicación;Total (miles €);Total (€)
23.50;74806;Al IDAE para energía sostenible en las islas. Mecanismo de Recuperación y Resiliencia;25.000,00;25.000.000,00 €
—;—;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;25.000,00;25.000.000,00 €
—;—;TOTAL PROGRAMA C07.I02;25.000,00;25.000.000,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
