Clasificación Económica;Explicación;Clasificación Orgánica (23.50);Total (miles €);Total (€)
7;Transferencias de capital;23.50;93.747,41;93.747.410,00 €
74;A sociedades, entidades públicas empresariales, fundaciones y resto de entidades del sector público estatal;23.50;93.747,41;93.747.410,00 €
—;TOTAL PROGRAMA C08.I01;—;93.747,41;93.747.410,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
