Económica;Explicación;23.50;23.101;Total (miles euros);Total (euros)
6;Inversiones reales;70.639,60;12.069,11;82.708,71;82.708.710,00
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;70.639,60;12.069,11;82.708,71;82.708.710,00
7;Transferencias de capital;11.970,50;—;11.970,50;11.970.500,00
74;A sociedades, entidades públicas empresariales, fundaciones y resto de entidades del sector público estatal;10.970,50;—;10.970,50;10.970.500,00
76;A entidades locales;1.000,00;—;1.000,00;1.000.000,00
—;TOTAL PROGRAMA C04.I03;82.610,10;12.069,11;94.679,21;94.679.210,00
