Clasificación Orgánica;Clasificación Económica;Explicación;Total (miles €);Total (€)
23.50;74312;Aportación al FRER para actuaciones de conservación en espacios gestionados por O.A. Parques Nacionales;200;200.000,00 €
23.50;—;Resto de actuaciones financiadas por el Mecanismo de Recuperación y Resiliencia;72.480,61;72.480.610,00 €
23.50;—;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;72.680,61;72.680.610,00 €
23.101;—;Actuaciones directas del O.A. Parques Nacionales;81.634,07;81.634.070,00 €
—;—;TOTAL PROGRAMA C04.I02;154.314,68;154.314.680,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
