Orgánica; Económica;Explicación;Total (miles euros);Total (euros)
23.112;74000;A CIUDEN para inversiones en Transición Justa. Mecanismo de Recuperación y Resiliencia;10.000,00;10.000.000,00
23.112;—;Resto de inversiones gestionadas por el Instituto para la Transición Justa;159.252,59;159.252.590,00
—;—;TOTAL INSTITUTO PARA LA TRANSICIÓN JUSTA;169.252,59;169.252.590,00
—;—;TOTAL PROGRAMA C10.I01;169.252,59;169.252.590,00
