Clasificación Económica;Explicación;Orgánica 23.50;Orgánica 23.101;Total (miles €);Total (€)
6;Inversiones reales;45.361,67;1.489,35;46.851,02;46.851.020,00 €
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;45.361,67;1.489,35;46.851,02;46.851.020,00 €
7;Transferencias de capital;2.977,39;—;2.977,39;2.977.390,00 €
74;A sociedades, entidades públicas empresariales, fundaciones y resto de entidades del sector público estatal;2.977,39;—;2.977,39;2.977.390,00 €
—;TOTAL PROGRAMA C04.I01;48.339,06;1.489,35;49.828,41;49.828.410,00 €
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
