Económica;Explicación;Orgánica ;Total (miles euros);Total (euros)
7;Transferencias de capital;23.50;672.817,00;672.817.000,00
74;A sociedades, entidades públicas empresariales, fundaciones y resto de entidades del sector público estatal;23.50;672.817,00;672.817.000,00
—;TOTAL PROGRAMA C09.I01;—;672.817,00;672.817.000,00
