Económica;Explicación; Orgánica;Total (miles euros);Total (euros)
7;Transferencias de capital;23.50;56.000,00;56.000.000,00
74;A sociedades, entidades públicas empresariales, fundaciones y resto de entidades del sector público estatal;23.50;56.000,00;56.000.000,00
—;TOTAL PROGRAMA C08.I03;—;56.000,00;56.000.000,00
