Económica;Explicación;Orgánica ;Total (miles euros);Total (euros)
7;Transferencias de capital;23.50;1.346,60;1.346.600,00
74;A sociedades, entidades públicas empresariales, fundaciones y resto de entidades del sector público estatal;23.50;1.346,60;1.346.600,00
—;TOTAL PROGRAMA C11.I04;—;1.346,60;1.346.600,00
