Económica;Explicación;15.101;Total (miles euros);Total (euros)
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.941,00;2.941,00;2.941.000,00
29;Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;2.941,00;2.941,00;2.941.000,00
—;TOTAL;—;2.941,00;2.941.000,00
