Clasificación por programas;Explicación;Estado ;Total (miles euros);Total (euros)
923R;Contratación centralizada;317.071,70;317.071,70;317.071.700,00
—;TOTAL CONSOLIDADO;317.071,70;317.071,70;317.071.700,00
—;TOTAL GENERAL;317.071,70;317.071,70;317.071.700,00
