Económica;Explicación;27.101 (miles €);Total (miles €);Total (€)
1;GASTOS DE PERSONAL;121.426,15;121.426,15;121.426.150,00
15;Incentivos al rendimiento;3.961,45;3.961,45;3.961.450,00
150;Productividad;3.791,06;3.791,06;3.791.060,00
151;Gratificaciones;170,39;170,39;170.390,00
16000;Seguridad Social;19.577,73;19.577,73;19.577.730,00
16200;Formación y perfeccionamiento del personal;147,36;147,36;147.360,00
16204;Acción social;290;290;290.000,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;29.454,40;29.454,40;29.454.400,00
202;Arrendamientos de edificios y otras construcciones;7.650,53;7.650,53;7.650.530,00
22.109;Labores Fábrica Nacional Moneda y Timbre;34,11;34,11;34.110,00
22502;Locales;1.469,85;1.469,85;1.469.850,00
22601;Atenciones protocolarias y representativas;9,36;9,36;9.360,00
3;GASTOS FINANCIEROS;36,31;36,31;36.310,00
35;Intereses de demora y otros gastos financieros;36,31;36,31;36.310,00
352;Intereses de demora;35,14;35,14;35.140,00
359;Otros gastos financieros;1,17;1,17;1.170,00
4;TRANSFERENCIAS CORRIENTES;518,58;518,58;518.580,00
48;A familias e instituciones sin fines de lucro;510,8;510,8;510.800,00
480;A la Sociedad Española de Estadística e Investigación Operativa (AECA);3,9;3,9;3.900,00
483;Becas de postgrado para formación de estadísticos;472,8;472,8;472.800,00
484;A la Asociación XBRL España para la difusión de estándares de tecnología;3,5;3,5;3.500,00
488;Premio Nacional de Estadística;30;30;30.000,00
489;A la Sociedad Hispanoamericana de Análisis Input-Output (SHAIO);0,6;0,60;600
49;Al exterior;7,78;7,78;7.780,00
491;Cuotas a organismos internacionales;7,78;7,78;7.780,00
6;INVERSIONES REALES;38.793,65;38.793,65;38.793.650,00
7;TRANSFERENCIAS DE CAPITAL;2.312,46;2.312,46;2.312.460,00
76;A Entidades Locales;818;818;818.000,00
760;Explotación estadística del Padrón Municipal y actualización del Censo Electoral;818;818;818.000,00
78;A familias e instituciones sin fines de lucro;1.494,46;1.494,46;1.494.460,00
780;Proyectos de inversión científica, desarrollo e innovación tecnológica;1.494,46;1.494,46;1.494.460,00
8;ACTIVOS FINANCIEROS;247,62;247,62;247.620,00
83;Concesión de préstamos fuera del Sector Público;247,62;247,62;247.620,00
831;Préstamos a largo plazo;247,62;247,62;247.620,00
—;TOTAL PROGRAMA 923C – Elaboración y difusión estadística;—;192.789,17;192.789.170,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
