Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
27.302;15;Incentivos al rendimiento;1.490,33;1.490.330,00
27.302;150;Productividad;1.484,79;1.484.790,00
27.302;151;Gratificaciones;5,54;5.540,00
27.302;16000;Seguridad Social;5.306,63;5.306.630,00
27.302;16200;Formación y perfeccionamiento del personal;368,6;368.600,00
27.302;16204;Acción social;732,74;732.740,00
—;—;TOTAL GASTOS DE PERSONAL;35.947,14;35.947.140,00
27.302;202;Arrendamientos de edificios y otras construcciones;85,12;85.120,00
27.302;22502;Locales;438,3;438.300,00
27.302;22601;Atenciones protocolarias y representativas;83,01;83.010,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;21.216,49;21.216.490,00
27.302;35;Intereses de demora y otros gastos financieros;298,5;298.500,00
27.302;352;Intereses de demora;100;100.000,00
27.302;359;Otros gastos financieros;198,5;198.500,00
—;—;TOTAL GASTOS FINANCIEROS;298,5;298.500,00
27.302;48;A familias e instituciones sin fines de lucro;502,08;502.080,00
27.302;481;Becas de la CNMC;220;220.000,00
27.302;482;Indemnización a expresidentes y exconsejeros;189,08;189.080,00
27.302;483;Premios CNMC;8;8.000,00
27.302;484;Prácticas Doctorandos CNMC;85;85.000,00
27.302;49;Al exterior;188,3;188.300,00
27.302;490;Cuotas a organismos internacionales;188,3;188.300,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;690,38;690.380,00
27.302;6;INVERSIONES REALES;4.079,74;4.079.740,00
27.302;83;Concesión de préstamos fuera del Sector Público;60,4;60.400,00
27.302;830;Préstamos a corto plazo;10,4;10.400,00
27.302;831;Préstamos a largo plazo;50;50.000,00
—;—;TOTAL ACTIVOS FINANCIEROS;60,4;60.400,00
—;—;TOTAL COMISIÓN NACIONAL DE LOS MERCADOS Y LA COMPETENCIA;62.292,65;62.292.650,00
—;—;TOTAL PROGRAMA 492M – Defensa de la competencia y regulación de sectores productivos;62.292,65;62.292.650,00
