Económica;Explicación;Importe (miles €);Importe (€);
6;Inversiones reales;2.606,83;2.606.830;
69;Inversiones reales (Mecanismo de Recuperación y Resiliencia);2.606,83;2.606.830;
TOTAL;—;2.606,83;2.606.830;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
