Económica;Explicación;Importe (miles €);Importe (€);
77;A empresas privadas;3.514.141,75;3.514.141.750;
771;Para actuaciones de almacenamiento subterráneo;6.334,75;6.334.750;
777;Para financiar costes del sector eléctrico (Ley 7/2021, art. 30.4 – Cambio Climático y Transición Energética);1.100.000,00;1.100.000.000;
778;Para financiar costes del sector eléctrico (Ley 15/2012, disp. adicional segunda – Sostenibilidad energética);1.762.000,00;1.762.000.000;
779;Para atender el extracoste de generación (Ley 24/2013, disp. adicional decimoquinta – Sector Eléctrico);645.807,00;645.807.000;
TOTAL;—;3.514.141,75;3.514.141.750;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
