 Económica;Explicación; 23.50;23.301;Total (miles euros);Total (euros)
6;INVERSIONES REALES;—;2.500,00;2.500,00;2.500.000,00
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;—;2.500,00;2.500,00;2.500.000,00
7;TRANSFERENCIAS DE CAPITAL;83.457,32;—;83.457,32;83.457.320,00
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;83.457,32;—;83.457,32;83.457.320,00
—;TOTAL PROGRAMA C05.I03;83.457,32;2.500,00;85.957,32;85.957.320,00
