Económica;Explicación;Orgánica ;Total (miles euros);Total (euros)
7;Transferencias de capital;23.50;225.000,00;225.000.000,00
74;A sociedades, entidades públicas empresariales, fundaciones y resto de entidades del sector público estatal;23.50;225.000,00;225.000.000,00
—;TOTAL PROGRAMA C02.I04;—;225.000,00;225.000.000,00
