;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulo 9;
;;
;Sección: 25 MINISTERIO DE VIVIENDA Y AGENDA URBANA;
;Capítulo: 9 PASIVOS FINANCIEROS;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;Total;
261N; Promoción, administración y ayudas para rehabilitación y acceso a vivienda;165,00;165,00;
;TOTAL CONSOLIDADO;165,00;165,00;
;TOTAL;165,00;165,00;
;;



