Orgánica;Económica;Explicación;Importe (miles euros);Importe (Euros)
01.01;;CASA DE SU MAJESTAD EL REY;NaN;NaN
01.01;4;TRANSFERENCIAS CORRIENTES;NaN;NaN
01.01;48;A familias e instituciones sin fines de lucro;8.431,15;8.431.150,00
01.01;480;A S.M. el Rey. Para el sostenimiento de su Familia y Casa (Art. 65 Constitución);8.431,15;8.431.150,00
01.01;;TOTAL TRANSFERENCIAS CORRIENTES;8.431,15;8.431.150,00
01.01;;TOTAL CASA DE SU MAJESTAD EL REY;8.431,15;8.431.150,00
01.01;;TOTAL Jefatura del Estado;8.431,15;8.431.150,00
