Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
01.01;4;TRANSFERENCIAS CORRIENTES;8.431,15;8.431.150,00
01.01;48;A familias e instituciones sin fines de lucro;8.431,15;8.431.150,00
01.01;;TOTAL TRANSFERENCIAS CORRIENTES;8.431,15;8.431.150,00
01.01;;TOTAL CASA DE SU MAJESTAD EL REY;8.431,15;8.431.150,00
01.01;;TOTAL Jefatura del Estado;8.431,15;8.431.150,00
