Económica;Explicación;Total (miles euros);Total (euros)
6;Inversiones reales;2.606,83;2.606.830,00
69;Inversiones reales (Mecanismo de Recuperación y Resiliencia);2.606,83;2.606.830,00
TOTAL;—;2.606,83;2.606.830,00
