Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
27.302;4;TRANSFERENCIAS CORRIENTES;110.000,00;110.000.000,00
27.302;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;110.000,00;110.000.000,00
27.302;440;Financiación prestación Servicio Postal Universal;110.000,00;110.000.000,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;110.000,00;110.000.000,00
—;—;TOTAL COMISIÓN NACIONAL DE LOS MERCADOS Y LA COMPETENCIA;110.000,00;110.000.000,00
—;—;TOTAL PROGRAMA 491N – SERVICIO POSTAL UNIVERSAL;110.000,00;110.000.000,00
