Sección;Programa;Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
27;92KA C11.I01;27.50;—;Mecanismo de Recuperación y Resiliencia (MRR);2.606,83;2.606.830,00
;;;—;TOTAL Programa C11.I01;2.606,83;2.606.830,00
