Económica;Explicación;14.02 ;14.03 ;14.12 ;14.17 ;14.22;14.107;Total (miles euros);Total (euros)
6;Inversiones reales;2.583,87;246.322,66;22.463,58;47.802,47;21.708,46;118.322,66;459.203,70;459.203.700,00
65;Inversiones militares en infraestructura y otros bienes;2.583,87;246.322,66;22.463,58;47.802,47;21.708,46;118.322,66;459.203,70;459.203.700,00
