Orgánica;Económica;Explicación;Total (miles €);Total (€ reales)
33.50;—;Mecanismo de Recuperación y Resiliencia – Plataforma de datos sanitarios;65.000,00;65.000.000 €
—;—;TOTAL PROGRAMA 46RF – C18.I06;65.000,00;65.000.000 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
