Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
33.50;—;Mecanismo de Recuperación y Resiliencia – Renovación y sostenibilidad de infraestructuras;20.000,00;20.000.000,00
—;—;TOTAL PROGRAMA 46OD – C15.I04;20.000,00;20.000.000,00
