Económica;Explicación;33.50 (miles €);Total (€ reales);
6;INVERSIONES REALES;5.400,00;5.400.000 €;
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;5.400,00;5.400.000 €;
7;TRANSFERENCIAS DE CAPITAL;81.200,00;81.200.000 €;
74;A entidades públicas estatales – Red.es (convocatorias IA);30.000,00;30.000.000 €;
75;A Comunidades Autónomas;7.500,00;7.500.000 €;
77;A empresas privadas – Proyectos de IA;43.700,00;43.700.000 €;
—;TOTAL PROGRAMA 46PR – C16.R01;86.600,00;86.600.000 €;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
