Económica;Explicación;33.50 (miles €);Total (€ reales);
7;TRANSFERENCIAS DE CAPITAL;221.300,00;221.300.000 €;
75;A Comunidades Autónomas – Transferencias para modernización digital;221.300,00;221.300.000 €;
—;TOTAL PROGRAMA 94KC – C11.I03;221.300,00;221.300.000 €;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
