Económica;Explicación;33.50 (miles €);Total (€ reales);
6;INVERSIONES REALES;31.000,00;31.000.000 €;
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;31.000,00;31.000.000 €;
7;TRANSFERENCIAS DE CAPITAL;1.291.000,00;1.291.000.000 €;
74;A entidades públicas estatales;1.141.000,00;1.141.000.000 €;
77;A empresas privadas;150.000,00;150.000.000 €;
—;TOTAL PROGRAMA 46MC – C13.I03;1.322.000,00;1.322.000.000 €;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
