Económica;Explicación;33.50 (miles €);Total (€ reales);
7;TRANSFERENCIAS DE CAPITAL;10.000,00;10.000.000 €;
75;A Comunidades Autónomas – Bonos de conectividad;10.000,00;10.000.000 €;
—;TOTAL PROGRAMA 46OC – C15.I03;10.000,00;10.000.000 €;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
