Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
33.50;74003;A Red.es para la Oficina Nacional de Emprendimiento (ONE) – Mecanismo de Recuperación y Resiliencia;18.000,00;18.000.000,00
33.50;82904;A ENISA para apoyo a startups lideradas por mujeres emprendedoras – Mecanismo de Recuperación y Resiliencia;12.000,00;12.000.000,00
—;—;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;60.000,00;60.000.000,00
—;—;TOTAL PROGRAMA 46MA – C13.I01;60.000,00;60.000.000,00
