Económica;Explicación;33.50;Total (miles euros);Total (euros)
7;TRANSFERENCIAS DE CAPITAL;1.350.000,00;1.350.000,00;1.350.000.000,00
751;A la Comunidad Autónoma de Canarias – Refuerzo de red óptica submarina;1.000,00;1.000,00;1.000.000,00
82907;A la Sociedad Estatal de Microelectrónica y Semiconductores SA – PERTE Chip;800.000,00;800.000,00;800.000.000,00
—;TOTAL PROGRAMA 46OE – C15.I05;1.350.000,00;1.350.000,00;1.350.000.000,00
