Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
33.50;—;Mecanismo de Recuperación y Resiliencia – Bonos de conectividad para PYMES y colectivos vulnerables;10.000,00;10.000.000,00
—;—;TOTAL PROGRAMA 46OC – C15.I03;10.000,00;10.000.000,00
