Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
33.50;—;Mecanismo de Recuperación y Resiliencia – Modernización AGE;233.393,17;233.393.170,00
—;—;TOTAL PROGRAMA 46KA – C11.I01;233.393,17;233.393.170,00
