Económica;Explicación;33.50 (miles €);Total (€ reales);
7;TRANSFERENCIAS DE CAPITAL;20.000,00;20.000.000 €;
75;A Comunidades Autónomas – Renovación y sostenibilidad de infraestructuras;20.000,00;20.000.000 €;
—;TOTAL PROGRAMA 46OD – C15.I04;20.000,00;20.000.000 €;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
