Económica;Explicación;33.50;Total (miles euros);Total (euros)
74007;A Red.es – Convocatorias relacionadas con el tercer sector;20.000,00;20.000,00;20.000.000,00
74013;A Red.es – Fomento de derechos digitales, humanismo tecnológico y cultura digital;1.000,00;1.000,00;1.000.000,00
—;TOTAL PROGRAMA 46SA – C19.I01;26.000,00;26.000,00;26.000.000,00
