Económica;Explicación;33.50 (miles €);Total (€ reales);
7;TRANSFERENCIAS DE CAPITAL;10.000,00;10.000.000 €;
74;A entidades públicas estatales – Red.es (Programa UNI_DIGITAL);10.000,00;10.000.000 €;
—;TOTAL PROGRAMA 46UE – C21.I05;10.000,00;10.000.000 €;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
