Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
33.50;—;Mecanismo de Recuperación y Resiliencia – Gestión del espectro, normativa 5G y apoyo a entidades locales;31.000,00;31.000.000,00
—;—;TOTAL PROGRAMA 49OS – C15.R02;31.000,00;31.000.000,00
