Económica;Explicación;33.50 (miles €);Total (€ reales);
6;INVERSIONES REALES;233.393,17;233.393.170 €;
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;233.393,17;233.393.170 €;
—;TOTAL PROGRAMA 46KA – C11.I01;233.393,17;233.393.170 €;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
