Económica;Explicación;33.50 ;Total (miles euros);Total (euros)
6;INVERSIONES REALES;65.000,00;65.000,00;65.000.000,00
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;65.000,00;65.000,00;65.000.000,00
—;TOTAL PROGRAMA 46RF – C18.I06;65.000,00;65.000,00;65.000.000,00
