Económica;Explicación;33.50 ;Total (miles euros);Total (euros)
6;INVERSIONES REALES;1.000,00;1.000,00;1.000.000,00
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;1.000,00;1.000,00;1.000.000,00
7;TRANSFERENCIAS DE CAPITAL;30.000,00;30.000,00;30.000.000,00
77;A empresas privadas – Apoyo al despliegue, gestión del espectro y ciberseguridad 5G;30.000,00;30.000,00;30.000.000,00
—;TOTAL PROGRAMA 49OS – C15.R02;31.000,00;31.000,00;31.000.000,00
