Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
33.50;—;Mecanismo de Recuperación y Resiliencia – Proyectos transversales de digitalización de la AGE;3.315,10;3.315.100,00
33.101;—;Instituto Nacional de Administración Pública – Formación y modernización de servicios;1.200,00;1.200.000,00
33.102;—;Mutualidad General de Funcionarios Civiles del Estado – Digitalización de procesos internos;1.084,46;1.084.460,00
—;—;TOTAL PROGRAMA 92KC – C11.I03;5.599,56;5.599.560,00
