Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;17.278,47;17.278.470,00
10;Altos cargos;61,04;61.040,00
12;Funcionarios;12.973,68;12.973.680,00
13;Laborales;2.481,89;2.481.890,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.761,86;1.761.860,00
16000;Seguridad Social;1.761,86;1.761.860,00
4;TRANSFERENCIAS CORRIENTES;2.714,78;2.714.780,00
48;A familias e instituciones sin fines de lucro;30;30.000,00
481;Fundación Círculo de Tecnologías para la Defensa y Seguridad;30;30.000,00
49;Al exterior;2.684,78;2.684.780,00
492;Cuotas ETSI y DVB;175;175.000,00
493;Oficina Europea de Comunicaciones (ECO);256,08;256.080,00
494;CEPT y Oficina Europea de Radiocomunicaciones (ERO);103;103.000,00
495;Convenio Internacional de Telecomunicaciones (UIT);2.150,00;2.150.000,00
496;Asociación R&TTE CA;0,7;700,00
6;INVERSIONES REALES;15.260,69;15.260.690,00
64;Gastos de inversiones de carácter inmaterial;15.260,69;15.260.690,00
7;TRANSFERENCIAS DE CAPITAL;250;250.000,00
74;A entidades públicas estatales;250;250.000,00
746;A Red.es – apoyo a la Agenda Digital;250;250.000,00
8;ACTIVOS FINANCIEROS;2.000,00;2.000.000,00
87;Aportaciones patrimoniales;2.000,00;2.000.000,00
877;A SEPI – Proyecto PERTE Chip;2.000,00;2.000.000,00
—;TOTAL PROGRAMA 491M;37.503,94;37.503.940,00
