Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
33.50;—;Mecanismo de Recuperación y Resiliencia – Transferencias a otras Administraciones Públicas;221.300,00;221.300.000,00
—;—;TOTAL PROGRAMA 94KC – C11.I03;221.300,00;221.300.000,00
