Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
33.50;74011;A Red.es para Programa Kit Digital – Mecanismo de Recuperación y Resiliencia;1.141.000,00;1.141.000.000,00
33.50;—;Otras actuaciones del Mecanismo de Recuperación y Resiliencia;181.000,00;181.000.000,00
—;—;TOTAL PROGRAMA 46MC – C13.I03;1.322.000,00;1.322.000.000,00
