Económica;Explicación;33.50;Total (miles euros);Total (euros)
7;TRANSFERENCIAS DE CAPITAL;550.000,00;550.000,00;550.000.000,00
74;A entidades públicas estatales;150.000,00;150.000,00;150.000.000,00
75;A Comunidades Autónomas;70.600,00;70.600,00;70.600.000,00
77;A empresas privadas;329.400,00;329.400,00;329.400.000,00
8;ACTIVOS FINANCIEROS;800.000,00;800.000,00;800.000.000,00
82;Concesión de préstamos al Sector Público;800.000,00;800.000,00;800.000.000,00
—;TOTAL PROGRAMA 46OE – C15.I05;1.350.000,00;1.350.000,00;1.350.000.000,00
