Económica;Explicación;33.50 ;Total (miles euros);Total (euros)
6;INVERSIONES REALES;5.000,00;5.000,00;5.000.000,00
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;5.000,00;5.000,00;5.000.000,00
—;TOTAL PROGRAMA 46SD – C19.I04;5.000,00;5.000,00;5.000.000,00
