Económica;Explicación;33.50 ;Total (miles euros);Total (euros)
7;TRANSFERENCIAS DE CAPITAL;10.000,00;10.000,00;10.000.000,00
75;A Comunidades Autónomas – Bonos de conectividad;10.000,00;10.000,00;10.000.000,00
—;TOTAL PROGRAMA 46OC – C15.I03;10.000,00;10.000,00;10.000.000,00
