Económica;Explicación;09.01 ;Total (miles Euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;98.330,95;98.330,95;98.330.950,00
41;A Organismos Autónomos;98.330,95;98.330,95;98.330.950,00
—;TOTAL;98.330,95;98.330,95;98.330.950,00
