Económica;Explicación;38.21;Total (miles euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;220.319,43;220.319,43;220.319.430,00
46;A Entidades Locales;220.319,43;220.319,43;220.319.430,00
—;TOTAL;220.319,43;220.319,43;220.319.430,00
