Económica;Explicación;24.105;Total (miles euros);Total (euros)
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.704,00;1.704,00;1.704.000,00
20;Arrendamientos y cánones;1.704,00;1.704,00;1.704.000,00
6;INVERSIONES REALES;40;40;40.000,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;40;40;40.000,00
—;TOTAL PROGRAMA 321M;—;1.744,00;1.744.000,00
