Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
24.105;202;Arrendamientos de edificios y otras construcciones;1.704,00;1.704.000,00
24.105;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.704,00;1.704.000,00
24.105;6;INVERSIONES REALES;40;40.000,00
24.105;—;TOTAL GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA;1.744,00;1.744.000,00
—;—;TOTAL PROGRAMA 321M;1.744,00;1.744.000,00
