Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
24.01;482,00;Bono cultural joven;210.000,00;210.000.000,00
24.01;487,00;Fundaciones vinculadas a partidos políticos;350,00;350.000,00
—;—;Total 24.01 – Ministerio, Subsecretaría y Servicios Generales;210.350,00;210.350.000,00
24.04;10,00;Altos cargos;61,04;61.040,00
24.04;12,00;Funcionarios;1.306,38;1.306.380,00
24.04;13,00;Laborales;193,00;193.000,00
24.04;16,00;Seguridad Social;222,11;222.110,00
—;—;Total Gastos de Personal – 24.04;1.782,53;1.782.530,00
24.04;445;Fundación Instituto de Cultura Gitana;350;350.000,00
24.04;446;Fundación Residencia de Estudiantes;110;110.000,00
24.04;455;Fundación Centro Cultural Internacional Oscar Niemeyer;100;100.000,00
24.04;460;Ayuntamiento de Vitoria-Gasteiz – Festival FesTVal;100,00;100.000,00
24.04;461;Consorcio Centro Federico García Lorca – Actividades;200,00;200.000,00
24.04;462;Consorcio Centro Federico García Lorca – Pago de deudas;300;300.000,00
24.04;468;Ayuntamiento de Barcelona – Capitalidad cultural;15.000,00;15.000.000,00
24.04;480;Instituciones culturales – funcionamiento y actividades;1.665,00;1.665.000,00
24.04;48001;Fundación EINA;45,00;45.000,00
24.04;48002;Institut Ramón Llull;100;100.000,00
24.04;48003;Etxepare Euskal Institutua;100;100.000,00
24.04;48004;Instituto da Lingua Galega;100;100.000,00
24.04;48005;Círculo de Bellas Artes;200;200.000,00
24.04;48006;Obra Cultural Balear;200;200.000,00
24.04;48007;Patronat del Reial Monestir de Poblet;250;250.000,00
24.04;48008;Patronat de la Muntanya de Montserrat;250;250.000,00
24.04;48009;Fundación Horitzons 2050;200;200.000,00
24.04;48012;FEMP – Evaluación de políticas culturales;45;45.000,00
24.04;48014;Fundación Francisco Giner de los Ríos;50;50.000,00
24.04;48016;Real Sociedad Bascongada de Amigos del País;125;125.000,00
24.04;489;Otras ayudas y subvenciones;2.855,42;2.855.420,00
24.04;44–48;Resto de transferencias corrientes (incluye CCAA, entidades locales, instituciones sin ánimo de lucro);4.520,42;4.520.420,00
—;—;Total Transferencias Corrientes – 24.04;20.680,42;20.680.420,00
24.04;755;A Comunidades Autónomas para apoyo a la cultura;31.947,50;31.947.500,00
24.04;761;Diputación de Soria – Castillo de Serón de Nágima;700;700.000,00
24.04;762;Ayuntamientos, diputaciones y otras entidades locales;2.825,00;2.825.000,00
24.04;76201;Ayuntamiento de Durango – rehabilitación edificio de correos;1.500,00;1.500.000,00
24.04;76202;Ayuntamiento de Girona – nueva biblioteca Casa de Cultura;1.000,00;1.000.000,00
24.04;76203;Ajuntament d’Igualada – reforma Escola Municipal d’Art “La Gaspar”;200;200.000,00
24.04;76204;Ajuntament d’Alpicat – construcción edificio polivalente;100;100.000,00
24.04;76205;Asociación PROCULTURA – estudio espacio cultural educativo en Argelaguer;25;25.000,00
24.04;765;Entidades locales para apoyo a la cultura;13.833,50;13.833.500,00
24.04;768;Ayuntamiento de Barcelona – capitalidad cultural;5.000,00;5.000.000,00
24.04;780;Casal Catòlic de Sant Andreu de Palomar – reformas;90;90.000,00
—;—;Total Transferencias de Capital – 24.04;54.396,00;54.396.000,00
24.04;6;Inversiones reales (sin especificar por subconcepto);43;43.000,00
—;—;Total Inversiones Reales – 24.04;43;43.000,00
24.105;22502;Locales;5;5.000,00
24.105;—;Otros gastos corrientes en bienes y servicios;5;5.000,00
—;—;Total 24.105 – Gerencia de Infraestructuras y Equipamientos de Cultura;10;10.000,00
;;24.01 Ministerio, Subsecretaría y Servicios Generales;210.350,00;210.350.000,00
;;24.04 Dirección General de Derechos Culturales;78.644,24;78.644.240,00
;;24.105 Gerencia de Infraestructuras y Equipamientos;10;10.000,00
;;—;289.004,24;289.004.240,00
